"U.S. Census Bureau"
"Source: U.S. International Trade in Goods and Services"
"Balance of Payment Goods and Services: United States"
"Seasonally Adjusted Balance [Millions of Dollars]"
"Period: 2000 to 2013"
"Data Extracted on: January 21, 2013 (4:41 pm)"

Period,Value
Jan-2000,-27418
Feb-2000,-30340
Mar-2000,-31632
Apr-2000,-29060
May-2000,-29994
Jun-2000,-31178
Jul-2000,-31791
Aug-2000,-30256
Sep-2000,-34221
Oct-2000,-33726
Nov-2000,-33097
Dec-2000,-34036
Jan-2001,-35076
Feb-2001,-29335
Mar-2001,-32598
Apr-2001,-31315
May-2001,-27776
Jun-2001,-29380
Jul-2001,-30086
Aug-2001,-28239
Sep-2001,-30844
Oct-2001,-30724
Nov-2001,-29612
Dec-2001,-26786
Jan-2002,-29312
Feb-2002,-32105
Mar-2002,-30790
Apr-2002,-33571
May-2002,-33934
Jun-2002,-35011
Jul-2002,-33932
Aug-2002,-35834
Sep-2002,-36509
Oct-2002,-34657
Nov-2002,-38931
Dec-2002,-42845
Jan-2003,-40653
Feb-2003,-39188
Mar-2003,-43272
Apr-2003,-41990
May-2003,-40739
Jun-2003,-39616
Jul-2003,-41044
Aug-2003,-39453
Sep-2003,-41308
Oct-2003,-40801
Nov-2003,-39329
Dec-2003,-43594
Jan-2004,-44216
Feb-2004,-43963
Mar-2004,-46161
Apr-2004,-46873
May-2004,-47803
Jun-2004,-54432
Jul-2004,-50957
Aug-2004,-52868
Sep-2004,-50997
Oct-2004,-54583
Nov-2004,-58374
Dec-2004,-54130
Jan-2005,-55397
Feb-2005,-57255
Mar-2005,-52425
Apr-2005,-56796
May-2005,-55835
Jun-2005,-57733
Jul-2005,-57546
Aug-2005,-57838
Sep-2005,-64192
Oct-2005,-66428
Nov-2005,-63381
Dec-2005,-63800
Jan-2006,-66671
Feb-2006,-62120
Mar-2006,-61569
Apr-2006,-61949
May-2006,-64003
Jun-2006,-62798
Jul-2006,-66007
Aug-2006,-67351
Sep-2006,-64311
Oct-2006,-58139
Nov-2006,-57618
Dec-2006,-60749
Jan-2007,-57124
Feb-2007,-58172
Mar-2007,-61399
Apr-2007,-59818
May-2007,-58812
Jun-2007,-59097
Jul-2007,-59043
Aug-2007,-56109
Sep-2007,-56808
Oct-2007,-55600
Nov-2007,-58640
Dec-2007,-56105
Jan-2008,-60040
Feb-2008,-63259
Mar-2008,-59236
Apr-2008,-62641
May-2008,-61277
Jun-2008,-59928
Jul-2008,-65743
Aug-2008,-60900
Sep-2008,-59491
Oct-2008,-59541
Nov-2008,-44156
Dec-2008,-42126
Jan-2009,-37729
Feb-2009,-27272
Mar-2009,-28431
Apr-2009,-29056
May-2009,-24855
Jun-2009,-25832
Jul-2009,-32417
Aug-2009,-30990
Sep-2009,-34038
Oct-2009,-33569
Nov-2009,-37043
Dec-2009,-37923
Jan-2010,-37078
Feb-2010,-40679
Mar-2010,-40194
Apr-2010,-41418
May-2010,-40586
Jun-2010,-45682
Jul-2010,-40418
Aug-2010,-45112
Sep-2010,-43606
Oct-2010,-40425
Nov-2010,-38860
Dec-2010,-40677
Jan-2011,-47523
Feb-2011,-44801
Mar-2011,-44902
Apr-2011,-43556
May-2011,-47669
Jun-2011,-50324
Jul-2011,-45580
Aug-2011,-44775
Sep-2011,-44467
Oct-2011,-45703
Nov-2011,-48835
Dec-2011,-51748
Jan-2012,-52209
Feb-2012,-44507
Mar-2012,-51647
Apr-2012,-49647
May-2012,-46930
Jun-2012,-40846
Jul-2012,-41630
Aug-2012,-42581
Sep-2012,-40277
Oct-2012,-42064
Nov-2012,-48731
Dec-2012,"NA"
Jan-2013,"NA"
Feb-2013,"NA"
Mar-2013,"NA"
Apr-2013,"NA"
May-2013,"NA"
Jun-2013,"NA"
Jul-2013,"NA"
Aug-2013,"NA"
Sep-2013,"NA"
Oct-2013,"NA"
Nov-2013,"NA"
Dec-2013,"NA"
