"U.S. Census Bureau"
"Source: New Home Sales"
"Annual Rate for New Single-family Houses Sold: United States"
"Seasonally Adjusted All Houses [Thousands of Units]"
"Period: 2000 to 2013"
"Data Extracted on: January 21, 2013 (4:06 pm)"

Period,Value
Jan-2000,873
Feb-2000,856
Mar-2000,900
Apr-2000,841
May-2000,857
Jun-2000,793
Jul-2000,887
Aug-2000,848
Sep-2000,912
Oct-2000,933
Nov-2000,880
Dec-2000,983
Jan-2001,936
Feb-2001,963
Mar-2001,939
Apr-2001,909
May-2001,885
Jun-2001,882
Jul-2001,880
Aug-2001,866
Sep-2001,853
Oct-2001,871
Nov-2001,924
Dec-2001,979
Jan-2002,880
Feb-2002,948
Mar-2002,923
Apr-2002,936
May-2002,978
Jun-2002,957
Jul-2002,956
Aug-2002,1014
Sep-2002,1044
Oct-2002,1006
Nov-2002,1024
Dec-2002,1048
Jan-2003,999
Feb-2003,936
Mar-2003,999
Apr-2003,1012
May-2003,1078
Jun-2003,1193
Jul-2003,1168
Aug-2003,1206
Sep-2003,1131
Oct-2003,1144
Nov-2003,1093
Dec-2003,1129
Jan-2004,1165
Feb-2004,1159
Mar-2004,1276
Apr-2004,1186
May-2004,1241
Jun-2004,1180
Jul-2004,1088
Aug-2004,1175
Sep-2004,1214
Oct-2004,1305
Nov-2004,1179
Dec-2004,1242
Jan-2005,1203
Feb-2005,1319
Mar-2005,1328
Apr-2005,1260
May-2005,1286
Jun-2005,1274
Jul-2005,1389
Aug-2005,1255
Sep-2005,1244
Oct-2005,1336
Nov-2005,1214
Dec-2005,1239
Jan-2006,1174
Feb-2006,1061
Mar-2006,1116
Apr-2006,1123
May-2006,1086
Jun-2006,1074
Jul-2006,965
Aug-2006,1035
Sep-2006,1016
Oct-2006,941
Nov-2006,1003
Dec-2006,998
Jan-2007,891
Feb-2007,828
Mar-2007,833
Apr-2007,887
May-2007,842
Jun-2007,793
Jul-2007,778
Aug-2007,699
Sep-2007,686
Oct-2007,727
Nov-2007,641
Dec-2007,619
Jan-2008,627
Feb-2008,593
Mar-2008,535
Apr-2008,536
May-2008,504
Jun-2008,487
Jul-2008,477
Aug-2008,435
Sep-2008,433
Oct-2008,393
Nov-2008,389
Dec-2008,377
Jan-2009,336
Feb-2009,372
Mar-2009,339
Apr-2009,337
May-2009,376
Jun-2009,393
Jul-2009,411
Aug-2009,418
Sep-2009,386
Oct-2009,396
Nov-2009,375
Dec-2009,352
Jan-2010,345
Feb-2010,336
Mar-2010,381
Apr-2010,422
May-2010,280
Jun-2010,305
Jul-2010,283
Aug-2010,282
Sep-2010,317
Oct-2010,291
Nov-2010,287
Dec-2010,326
Jan-2011,308
Feb-2011,273
Mar-2011,301
Apr-2011,312
May-2011,308
Jun-2011,304
Jul-2011,297
Aug-2011,292
Sep-2011,306
Oct-2011,314
Nov-2011,327
Dec-2011,339
Jan-2012,339
Feb-2012,366
Mar-2012,352
Apr-2012,358
May-2012,369
Jun-2012,360
Jul-2012,366
Aug-2012,367
Sep-2012,374
Oct-2012,361
Nov-2012,377
Dec-2012,"NA"
Jan-2013,"NA"
Feb-2013,"NA"
Mar-2013,"NA"
Apr-2013,"NA"
May-2013,"NA"
Jun-2013,"NA"
Jul-2013,"NA"
Aug-2013,"NA"
Sep-2013,"NA"
Oct-2013,"NA"
Nov-2013,"NA"
Dec-2013,"NA"
