"U.S. Census Bureau"
"Source: Monthly Wholesale Trade: Sales and Inventories"
"42: Total Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 2000 to 2013"
"Data Extracted on: January 21, 2013 (4:42 pm)"

Period,Value
Jan-2000,230048
Feb-2000,228769
Mar-2000,231698
Apr-2000,233248
May-2000,233359
Jun-2000,236375
Jul-2000,235604
Aug-2000,235280
Sep-2000,237507
Oct-2000,238512
Nov-2000,237369
Dec-2000,239661
Jan-2001,238932
Feb-2001,237676
Mar-2001,233834
Apr-2001,233382
May-2001,234265
Jun-2001,229909
Jul-2001,231369
Aug-2001,232103
Sep-2001,231851
Oct-2001,227529
Nov-2001,227789
Dec-2001,227254
Jan-2002,228645
Feb-2002,230343
Mar-2002,229903
Apr-2002,234096
May-2002,235233
Jun-2002,237063
Jul-2002,237860
Aug-2002,240309
Sep-2002,240083
Oct-2002,239050
Nov-2002,242366
Dec-2002,239491
Jan-2003,244049
Feb-2003,244463
Mar-2003,246964
Apr-2003,242074
May-2003,241132
Jun-2003,244952
Jul-2003,247388
Aug-2003,247101
Sep-2003,248629
Oct-2003,252698
Nov-2003,254517
Dec-2003,256887
Jan-2004,257446
Feb-2004,263485
Mar-2004,271529
Apr-2004,271817
May-2004,273504
Jun-2004,273579
Jul-2004,275096
Aug-2004,278431
Sep-2004,278947
Oct-2004,282621
Nov-2004,285806
Dec-2004,289586
Jan-2005,291752
Feb-2005,293021
Mar-2005,291876
Apr-2005,296513
May-2005,295000
Jun-2005,296279
Jul-2005,299635
Aug-2005,303990
Sep-2005,309784
Oct-2005,315389
Nov-2005,310371
Dec-2005,315032
Jan-2006,316739
Feb-2006,318690
Mar-2006,319163
Apr-2006,321464
May-2006,325459
Jun-2006,328017
Jul-2006,329717
Aug-2006,332917
Sep-2006,327723
Oct-2006,326709
Nov-2006,328013
Dec-2006,335134
Jan-2007,329987
Feb-2007,335471
Mar-2007,338798
Apr-2007,343991
May-2007,346959
Jun-2007,347414
Jul-2007,345418
Aug-2007,348707
Sep-2007,352967
Oct-2007,356648
Nov-2007,364262
Dec-2007,361519
Jan-2008,369644
Feb-2008,368136
Mar-2008,371594
Apr-2008,379319
May-2008,385407
Jun-2008,394556
Jul-2008,391100
Aug-2008,384078
Sep-2008,373618
Oct-2008,355947
Nov-2008,326711
Dec-2008,313546
Jan-2009,303793
Feb-2009,307019
Mar-2009,295975
Apr-2009,297636
May-2009,300286
Jun-2009,303299
Jul-2009,306855
Aug-2009,309842
Sep-2009,311756
Oct-2009,314528
Nov-2009,323648
Dec-2009,324983
Jan-2010,327364
Feb-2010,331658
Mar-2010,336103
Apr-2010,341364
May-2010,340153
Jun-2010,338780
Jul-2010,342513
Aug-2010,344468
Sep-2010,346293
Oct-2010,354528
Nov-2010,361015
Dec-2010,363906
Jan-2011,376856
Feb-2011,374427
Mar-2011,385965
Apr-2011,388422
May-2011,387450
Jun-2011,390895
Jul-2011,391887
Aug-2011,397050
Sep-2011,396544
Oct-2011,399229
Nov-2011,397164
Dec-2011,404636
Jan-2012,404708
Feb-2012,408970
Mar-2012,410559
Apr-2012,412940
May-2012,408492
Jun-2012,402730
Jul-2012,401942
Aug-2012,405897
Sep-2012,413437
Oct-2012,409784
Nov-2012,419333
Dec-2012,"NA"
Jan-2013,"NA"
Feb-2013,"NA"
Mar-2013,"NA"
Apr-2013,"NA"
May-2013,"NA"
Jun-2013,"NA"
Jul-2013,"NA"
Aug-2013,"NA"
Sep-2013,"NA"
Oct-2013,"NA"
Nov-2013,"NA"
Dec-2013,"NA"
